Role,Skills,Category,AverageSalary,Location,DemandLevel
UI/UX Designer,"PyTorch,Linux,Spring Boot,Power BI,Figma,Agile",Finance,₹18 LPA,London,High
Database Administrator,"Pandas,Machine Learning,Redis",HR,₹9 LPA,Hyderabad,High
Content Creator,"Elasticsearch,NoSQL,Natural Language Processing,MongoDB,Terraform,PHP",HR,₹38 LPA,New York,Low
Accountant,"Swift,HTML,Kanban,Jenkins,Elasticsearch",Marketing,₹29 LPA,Pune,Low
Business Analyst,"UX Design,TensorFlow,PyTorch,Ruby,Power BI,Vue.js,AWS",Operations,₹17 LPA,San Francisco,Low
Full Stack Developer,"Ruby on Rails,Linux,Scikit,Git,JavaScript,Cybersecurity",Data Science,₹9 LPA,Hyderabad,High
Data Engineer,"Blockchain,Terraform,JavaScript,Agile,Ruby,Ansible,Excel",Marketing,₹31 LPA,London,Very High
QA Engineer,"Ruby on Rails,JavaScript,Data Analysis,Scrum",Operations,₹28 LPA,Chennai,Low
AI Researcher,"Cryptography,Elasticsearch,GitLab,Ethereum,Data Analysis,Photoshop",Operations,₹34 LPA,Mumbai,Very High
Site Reliability Engineer,"React,Machine Learning,Jira,Tableau,Docker",HR,₹20 LPA,Mumbai,Low
IT Support Specialist,"Azure,Computer Vision,Linux,Scikit,Excel,Ansible,Go,Node.js",Data Science,₹12 LPA,Delhi NCR,Medium
Machine Learning Engineer,"HTML,Blockchain,Machine Learning,NumPy,PHP,UX Design,Data Visualization,JavaScript",Business,₹13 LPA,Bangalore,Low
Financial Analyst,"MacOS,Penetration Testing,Adobe XD,Deep Learning,Sketch",Marketing,₹39 LPA,Delhi NCR,Low
Database Administrator,"Flask,Bash,AWS,Python,Google Cloud,Windows,Excel,Sketch",IT/Software,₹37 LPA,Chennai,Medium
Mobile App Developer,"Illustrator,PostgreSQL,Network Security,Machine Learning",Business,₹24 LPA,Mumbai,High
Mobile App Developer,"C#,Swift,PyTorch",IT/Software,₹33 LPA,Pune,Very High
AI Researcher,"Cryptography,C#,Ruby",Business,₹13 LPA,Delhi NCR,Medium
Backend Developer,"SQL,Google Cloud,Python",Business,₹26 LPA,San Francisco,High
AI Researcher,"HTML,Google Cloud,Agile,GitHub,PHP",IT/Software,₹37 LPA,Chennai,Very High
Customer Success Manager,"SQL,Swift,Bash,Elasticsearch,Solidity,Tableau,Photoshop,Ruby on Rails",Operations,₹23 LPA,Mumbai,High
Blockchain Developer,"Jira,Kanban,Data Visualization,Photoshop,MacOS,C#",Finance,₹14 LPA,Mumbai,Low
HR Manager,"TypeScript,UI Design,PostgreSQL,Elasticsearch",Finance,₹25 LPA,New York,High
Data Scientist,"Ruby,GitLab,Django,CSS,Spring Boot",Finance,₹22 LPA,New York,Medium
AI Researcher,"PowerShell,Machine Learning,CSS",Design,₹5 LPA,Chennai,High
Graphic Designer,"MySQL,Pandas,Vue.js,Flask,Redis,JavaScript,Django,Data Visualization",IT/Software,₹16 LPA,Hyderabad,Medium
UI/UX Designer,"Windows,Photoshop,MongoDB,Ansible,Java,C++,Jira",Operations,₹14 LPA,Delhi NCR,Low
Video Editor,"Figma,Data Analysis,Excel,Scrum,PostgreSQL,Smart Contracts,Google Cloud,Power BI",Data Science,₹16 LPA,San Francisco,Medium
Security Analyst,"Kotlin,PostgreSQL,Scikit",Business,₹13 LPA,Bangalore,Very High
Scrum Master,"NoSQL,JavaScript,Figma,Tableau,SQL",Data Science,₹5 LPA,Pune,High
Financial Analyst,"Bitbucket,Cryptography,Jenkins,Network Security,SQL,Illustrator,Go,HTML",Marketing,₹8 LPA,New York,High
Data Scientist,"PyTorch,Bash,UI Design,Google Cloud,MacOS,Flask,GitHub",Data Science,₹13 LPA,Bangalore,Very High
Data Scientist,"Jira,Pandas,Power BI,Tableau,React,Agile,Node.js",Business,₹24 LPA,Mumbai,Low
DevOps Engineer,"Cybersecurity,Solidity,Scrum,Bash,MySQL,Git,Jenkins",Design,₹32 LPA,San Francisco,Medium
Backend Developer,"CSS,Jenkins,UX Design,PHP",Business,₹10 LPA,Remote,High
Content Creator,"React,Go,C#,Cybersecurity",Finance,₹41 LPA,San Francisco,High
Frontend Developer,"Ansible,Node.js,Machine Learning,TensorFlow,Google Cloud,Git,Adobe XD,Cryptography",IT/Software,₹31 LPA,Remote,Medium
Technical Writer,"JavaScript,Illustrator,Penetration Testing,Data Analysis,NoSQL",Design,₹33 LPA,Delhi NCR,Very High
Graphic Designer,"GitHub,Java,HTML,Kubernetes,Deep Learning,PostgreSQL,Bash",Business,₹17 LPA,Mumbai,Low
Marketing Specialist,"Figma,PyTorch,Agile",IT/Software,₹40 LPA,Hyderabad,High
Machine Learning Engineer,"SQL,MySQL,Git,Photoshop",Operations,₹43 LPA,Chennai,Low
QA Engineer,"Jira,Computer Vision,UX Design,Confluence,Deep Learning,MacOS",IT/Software,₹28 LPA,Pune,Medium
Full Stack Developer,"Blockchain,Sketch,C++",HR,₹37 LPA,Hyderabad,Very High
Software Engineer,"Ruby,HTML,Tableau,Windows,Ethereum,Solidity",HR,₹45 LPA,Chennai,Low
Accountant,"Scrum,Excel,AWS,Power BI",HR,₹24 LPA,Hyderabad,Low
Legal Advisor,"Kotlin,Natural Language Processing,AWS,Deep Learning,Google Cloud",Marketing,₹15 LPA,Delhi NCR,Medium
Full Stack Developer,"Photoshop,PyTorch,Agile,MacOS,NoSQL",IT/Software,₹7 LPA,Chennai,Low
AI Researcher,"Rust,C++,Solidity,Scikit,PostgreSQL",Finance,₹4 LPA,Mumbai,High
Backend Developer,"Bitbucket,Angular,Ansible,Kotlin,Windows,Network Security",Finance,₹40 LPA,London,Very High
DevOps Engineer,"Windows,Network Security,PHP,Cybersecurity,Kotlin,MySQL",HR,₹7 LPA,Mumbai,Low
Product Manager,"Ethereum,NoSQL,Deep Learning,PowerShell,Redis,Jira",IT/Software,₹38 LPA,Chennai,Low
UI/UX Designer,"TypeScript,Computer Vision,Kanban,Bash",Design,₹35 LPA,New York,Low
Customer Success Manager,"NumPy,Excel,Kubernetes",HR,₹32 LPA,Pune,Very High
Frontend Developer,"C++,Illustrator,PowerShell,Scikit,Git,Penetration Testing,Computer Vision",HR,₹33 LPA,San Francisco,Very High
Site Reliability Engineer,"Ethereum,Data Analysis,PHP,NoSQL,Express.js,C++,Node.js,Jira",Design,₹40 LPA,Pune,Very High
Legal Advisor,"Bitbucket,Bash,Python,HTML,Deep Learning",IT/Software,₹19 LPA,Chennai,Very High
System Administrator,"ASP.NET,SQL,Redis,Bitbucket,NumPy,Agile",Marketing,₹39 LPA,Chennai,High
Data Analyst,"MacOS,ASP.NET,TypeScript,Computer Vision,Kubernetes,Terraform,React,Flask",HR,₹11 LPA,Bangalore,Medium
Operations Manager,"Penetration Testing,Scikit,CSS,Agile,Flask",Marketing,₹27 LPA,London,High
Sales Executive,"Google Cloud,Java,Cybersecurity,Ethereum,Data Analysis,Tableau,Swift",Operations,₹6 LPA,Delhi NCR,Very High
Marketing Specialist,"HTML,NumPy,Docker,CSS",Marketing,₹21 LPA,San Francisco,Very High
Mobile App Developer,"PostgreSQL,Computer Vision,Smart Contracts,Git,Cryptography,Go",Operations,₹18 LPA,New York,High
Legal Advisor,"Vue.js,Ansible,CSS,Node.js",Marketing,₹42 LPA,Pune,Low
Content Creator,"Ethereum,Network Security,MongoDB,Angular,Excel,Adobe XD,AWS",Data Science,₹14 LPA,Delhi NCR,High
Machine Learning Engineer,"NoSQL,Git,Blockchain,Natural Language Processing,Confluence,PostgreSQL,Agile",Operations,₹18 LPA,Pune,Medium
Sales Executive,"Agile,UI Design,Solidity,MongoDB",Finance,₹32 LPA,Bangalore,Low
System Administrator,"Ansible,Ethereum,NumPy",HR,₹24 LPA,Bangalore,Low
QA Engineer,"Blockchain,Penetration Testing,Excel,Smart Contracts,Agile",HR,₹25 LPA,Pune,Medium
Backend Developer,"Git,Linux,Illustrator,Angular",IT/Software,₹34 LPA,Pune,Low
Backend Developer,"Windows,Power BI,Vue.js,Redis,JavaScript,Pandas,Figma,Git",Operations,₹19 LPA,London,Very High
QA Engineer,"Rust,Google Cloud,Photoshop,Natural Language Processing,TypeScript,Ethereum,TensorFlow",Operations,₹20 LPA,London,Very High
IT Support Specialist,"Photoshop,C++,Elasticsearch,Spring Boot",Business,₹29 LPA,London,Low
AI Researcher,"Kotlin,GitLab,Bitbucket,Bash,AWS,Network Security,CSS,Ethereum",Operations,₹29 LPA,Hyderabad,High
Operations Manager,"Blockchain,Data Analysis,Pandas,Kotlin",IT/Software,₹21 LPA,Remote,High
Technical Recruiter,"Illustrator,Kotlin,Scikit,UX Design,AWS,Pandas",Business,₹29 LPA,London,Medium
Database Administrator,"Illustrator,Java,TypeScript,Azure,Windows,Data Visualization",Design,₹19 LPA,Bangalore,Medium
Data Scientist,"Jenkins,Vue.js,Spring Boot,PyTorch",Finance,₹8 LPA,New York,Medium
Mobile App Developer,"NumPy,Machine Learning,UI Design,JavaScript",Marketing,₹13 LPA,Delhi NCR,Low
Product Manager,"Angular,PostgreSQL,Java,Rust,Agile",Operations,₹23 LPA,Bangalore,Medium
HR Manager,"C#,PowerShell,Solidity",Data Science,₹11 LPA,Mumbai,Very High
Product Manager,"Photoshop,Docker,NumPy,Machine Learning",Design,₹33 LPA,Delhi NCR,Low
Digital Marketer,"Elasticsearch,Pandas,Kanban,Figma",Design,₹25 LPA,New York,Very High
Security Analyst,"Spring Boot,Sketch,Excel,Machine Learning",Finance,₹39 LPA,San Francisco,Very High
Cloud Architect,"Node.js,UX Design,CSS,Penetration Testing,C#",Business,₹18 LPA,Hyderabad,Medium
Technical Recruiter,"MySQL,NumPy,Machine Learning",Business,₹6 LPA,San Francisco,Medium
Legal Advisor,"NumPy,React,Network Security,Data Analysis,MacOS,Google Cloud",IT/Software,₹23 LPA,Delhi NCR,Medium
Customer Success Manager,"C#,Smart Contracts,Scrum",IT/Software,₹42 LPA,San Francisco,Very High
Technical Writer,"Jenkins,Ruby,Bash",Design,₹33 LPA,New York,Very High
Video Editor,"Cryptography,Node.js,Penetration Testing,HTML,Solidity,TensorFlow,Redis",IT/Software,₹9 LPA,San Francisco,Medium
Network Engineer,"Smart Contracts,Bitbucket,Data Analysis,HTML,Vue.js,Excel,Photoshop,MongoDB",Business,₹20 LPA,Hyderabad,Medium
Site Reliability Engineer,"C++,MongoDB,PHP,Express.js,PyTorch,Jira",Operations,₹29 LPA,Hyderabad,Medium
UI/UX Designer,"PyTorch,Google Cloud,Machine Learning,Jenkins,Smart Contracts,GitLab,Linux",Business,₹36 LPA,Mumbai,Very High
SEO Specialist,"Elasticsearch,Kotlin,PyTorch,Natural Language Processing",HR,₹43 LPA,Bangalore,High
Product Manager,"Penetration Testing,Natural Language Processing,PowerShell,Jira,Windows,PostgreSQL,AWS,Adobe XD",Finance,₹37 LPA,Pune,Medium
Product Manager,"Jira,Kubernetes,Terraform,NoSQL,Ansible,Sketch",Data Science,₹11 LPA,New York,Low
SEO Specialist,"Swift,Pandas,Computer Vision",Design,₹21 LPA,Pune,High
Blockchain Developer,"Cryptography,React,Redis,Ruby,Tableau,AWS",Data Science,₹44 LPA,Remote,Medium
HR Manager,"Angular,Docker,Windows,Network Security,Flask,UX Design,Kotlin,Cybersecurity",Data Science,₹36 LPA,San Francisco,Medium
System Administrator,"Swift,Google Cloud,HTML,Solidity,React,Deep Learning,Kotlin",Marketing,₹8 LPA,Delhi NCR,Medium
AI Researcher,"GitHub,Solidity,Illustrator,Kotlin",Design,₹27 LPA,London,High
Data Analyst,"Azure,Kotlin,Blockchain,Bitbucket,Terraform,Agile,Jira,HTML",IT/Software,₹30 LPA,Delhi NCR,Low
Sales Executive,"Scrum,Ansible,Tableau,UI Design,Kotlin",Operations,₹41 LPA,Hyderabad,High
Game Developer,"Swift,Go,UI Design,Ethereum,Data Analysis",Operations,₹31 LPA,New York,Low
Database Administrator,"Ansible,MySQL,Solidity,TensorFlow",Marketing,₹45 LPA,Mumbai,High
Financial Analyst,"Swift,Linux,Illustrator,Java,Machine Learning",Design,₹18 LPA,New York,High
Operations Manager,"NoSQL,Cybersecurity,Data Analysis,HTML,Azure,Linux,Docker,Smart Contracts",Marketing,₹28 LPA,Pune,Medium
Digital Marketer,"Power BI,Windows,Pandas,Deep Learning,GitLab,Python,Jenkins",Design,₹6 LPA,Chennai,High
Graphic Designer,"TypeScript,Redis,Bash,Agile,Google Cloud",Design,₹11 LPA,Delhi NCR,Low
Frontend Developer,"Computer Vision,Kanban,PyTorch,Jenkins,Excel,SQL,Solidity,Google Cloud",HR,₹37 LPA,San Francisco,Very High
Data Engineer,"Python,JavaScript,Penetration Testing,Flask,Django",Operations,₹10 LPA,Mumbai,Very High
Video Editor,"Django,Ansible,Confluence,HTML,Kotlin,TypeScript",HR,₹5 LPA,Chennai,Medium
Product Manager,"Ruby,Confluence,Excel,Deep Learning,TensorFlow",Business,₹35 LPA,Remote,High
Accountant,"Ansible,Cybersecurity,Redis,Elasticsearch",Data Science,₹6 LPA,London,Very High
HR Manager,"MacOS,GitLab,Ethereum,Data Analysis,Illustrator",Marketing,₹26 LPA,Remote,Very High
Product Manager,"PHP,Python,Tableau,Go,GitLab,Terraform,Photoshop",Operations,₹24 LPA,Chennai,Very High
Data Engineer,"Adobe XD,Kubernetes,Rust,Network Security,Node.js,Swift,Google Cloud",HR,₹26 LPA,Bangalore,High
Technical Recruiter,"Tableau,Angular,Agile,Django,Azure,Kubernetes,Machine Learning,Confluence",Marketing,₹22 LPA,Delhi NCR,High
Operations Manager,"Smart Contracts,Confluence,Bash,Python,Illustrator",Operations,₹22 LPA,Hyderabad,High
HR Manager,"Git,Redis,UI Design,Solidity,PHP,Google Cloud",Operations,₹12 LPA,San Francisco,Very High
Content Creator,"Tableau,Redis,Data Visualization,Swift,Figma",Marketing,₹36 LPA,London,High
Financial Analyst,"Blockchain,MySQL,Data Analysis,Node.js,Express.js",Design,₹35 LPA,Hyderabad,Medium
Data Analyst,"Rust,Bitbucket,Cryptography",Design,₹6 LPA,San Francisco,High
UI/UX Designer,"Kotlin,Swift,Go,Flask,Linux",Business,₹12 LPA,London,Very High
Technical Recruiter,"Ruby on Rails,Ethereum,Adobe XD,Sketch",Business,₹15 LPA,Remote,Low
Scrum Master,"Angular,HTML,Data Analysis,Cryptography,Smart Contracts,Bash,Scikit",Marketing,₹13 LPA,San Francisco,Medium
Full Stack Developer,"Pandas,Agile,SQL,Cryptography,Blockchain,Jira,Angular",IT/Software,₹24 LPA,Delhi NCR,Medium
SEO Specialist,"Penetration Testing,Git,Scrum,Ruby on Rails,C++,Java,MongoDB",HR,₹26 LPA,Bangalore,High
QA Engineer,"Docker,ASP.NET,React,Adobe XD",Marketing,₹22 LPA,Bangalore,Medium
Customer Success Manager,"MySQL,TensorFlow,PostgreSQL,Excel,Flask,Ruby,PowerShell,Pandas",IT/Software,₹44 LPA,Remote,Low
Site Reliability Engineer,"Terraform,Swift,Adobe XD,Angular,Cybersecurity",Business,₹31 LPA,Delhi NCR,High
Blockchain Developer,"MySQL,Natural Language Processing,React",IT/Software,₹31 LPA,Hyderabad,High
Data Analyst,"Vue.js,Express.js,MySQL,Blockchain",Finance,₹17 LPA,Hyderabad,Low
Security Analyst,"Kubernetes,Agile,Blockchain,Scrum,C#,Cybersecurity,JavaScript",Design,₹36 LPA,Delhi NCR,Medium
Software Engineer,"SQL,Google Cloud,Ethereum,PHP,PowerShell,Jenkins,ASP.NET,UX Design",Operations,₹17 LPA,Bangalore,Medium
Site Reliability Engineer,"Adobe XD,Ruby,Rust,Photoshop,Bitbucket",Operations,₹16 LPA,London,Very High
Data Analyst,"Jira,Bitbucket,Figma,Sketch,Ethereum,Agile",Design,₹45 LPA,Remote,Very High
Customer Success Manager,"Java,Power BI,CSS",IT/Software,₹45 LPA,Chennai,Medium
Backend Developer,"React,Java,Machine Learning",Marketing,₹35 LPA,Bangalore,High
Content Creator,"Angular,Cryptography,Docker,TypeScript,Data Visualization,AWS,Solidity,Jira",Design,₹42 LPA,Remote,Low
Full Stack Developer,"Network Security,Jenkins,Kotlin,CSS,Angular,Blockchain,Deep Learning,Rust",Design,₹23 LPA,Chennai,Very High
Data Analyst,"Ruby,Spring Boot,CSS,NoSQL,Natural Language Processing,C#",Operations,₹11 LPA,Pune,Medium
SEO Specialist,"Rust,GitLab,Redis",IT/Software,₹44 LPA,Delhi NCR,High
Digital Marketer,"Ruby,CSS,C++,Data Visualization",IT/Software,₹33 LPA,Hyderabad,Medium
Scrum Master,"Docker,Terraform,Data Analysis",Finance,₹18 LPA,Chennai,Low
Database Administrator,"CSS,Penetration Testing,Swift,Ethereum,Redis,TypeScript",HR,₹10 LPA,San Francisco,Very High
Cloud Architect,"Docker,MacOS,Network Security",Finance,₹6 LPA,New York,Very High
Network Engineer,"Ethereum,Redis,Smart Contracts,Ruby on Rails",Marketing,₹42 LPA,Delhi NCR,Very High
Financial Analyst,"Tableau,Jenkins,HTML,Windows,NumPy,Power BI",Data Science,₹6 LPA,Mumbai,Low
Data Engineer,"Cybersecurity,C++,Swift,JavaScript,Agile,Azure,TensorFlow,Computer Vision",Design,₹28 LPA,London,Very High
Customer Success Manager,"CSS,Ruby on Rails,Natural Language Processing,Angular,Flask,JavaScript,PowerShell,HTML",Business,₹38 LPA,Mumbai,Medium
Cloud Architect,"Docker,Terraform,AWS,Angular,Scrum,Django,Ruby on Rails",Marketing,₹16 LPA,Chennai,High
Mobile App Developer,"GitHub,Swift,Adobe XD,Sketch,Agile,Ruby",HR,₹5 LPA,Chennai,High
Legal Advisor,"Scrum,Git,Java,NumPy,Linux,Jenkins",IT/Software,₹15 LPA,Chennai,Very High
Site Reliability Engineer,"C#,Git,Ruby,GitHub,MongoDB",Design,₹20 LPA,Delhi NCR,High
Network Engineer,"Blockchain,Figma,TypeScript,GitHub,C#",Business,₹37 LPA,Mumbai,Medium
Machine Learning Engineer,"Network Security,Power BI,TensorFlow,C++,MySQL,PowerShell",Data Science,₹22 LPA,Delhi NCR,High
HR Manager,"Scikit,AWS,Confluence,CSS,Data Analysis,Terraform,C#,Elasticsearch",Finance,₹12 LPA,London,Medium
Security Analyst,"Redis,Power BI,UI Design,Elasticsearch,Cryptography,Django,TypeScript,Blockchain",Operations,₹29 LPA,Bangalore,Medium
Technical Writer,"AWS,MySQL,Solidity,TensorFlow,Photoshop,HTML,UI Design,PyTorch",Business,₹24 LPA,Hyderabad,High
Database Administrator,"Cybersecurity,Ruby,Node.js",HR,₹42 LPA,Pune,Medium
Blockchain Developer,"PyTorch,JavaScript,Network Security,Express.js,AWS,Ruby on Rails",Finance,₹45 LPA,Bangalore,High
Business Analyst,"Ethereum,SQL,NoSQL,GitHub",IT/Software,₹33 LPA,San Francisco,Medium
DevOps Engineer,"Go,Cryptography,Windows,Data Visualization,Ruby on Rails,HTML",Marketing,₹32 LPA,Bangalore,Very High
Blockchain Developer,"CSS,HTML,Network Security,MySQL,Excel,Data Visualization,UI Design,Git",Finance,₹37 LPA,Pune,Medium
Technical Writer,"Bash,NoSQL,GitHub,PyTorch",Marketing,₹19 LPA,Delhi NCR,Very High
Data Engineer,"PostgreSQL,NumPy,Django,ASP.NET,Python",Operations,₹36 LPA,San Francisco,High
Technical Recruiter,"MongoDB,Linux,Figma,Ethereum,Node.js",Design,₹24 LPA,Remote,High
Video Editor,"Git,Photoshop,Deep Learning,NumPy,Agile,Spring Boot,CSS",Finance,₹16 LPA,Remote,Very High
Video Editor,"C#,Scikit,Flask,Swift",Data Science,₹13 LPA,San Francisco,Low
Network Engineer,"Tableau,Spring Boot,Google Cloud,C#,CSS,Swift",HR,₹34 LPA,San Francisco,Very High
Technical Writer,"Cybersecurity,Power BI,Illustrator,Deep Learning,Docker,C#",Finance,₹19 LPA,San Francisco,Medium
SEO Specialist,"MongoDB,Kanban,Cryptography",Data Science,₹22 LPA,Chennai,Low
Data Scientist,"Kanban,Cybersecurity,Go,UX Design,Flask",Finance,₹5 LPA,New York,Medium
Game Developer,"JavaScript,Ethereum,Scrum,Java,Natural Language Processing,GitHub",Marketing,₹38 LPA,Mumbai,High
Legal Advisor,"GitHub,Machine Learning,NoSQL,Solidity,Illustrator,Elasticsearch",Marketing,₹29 LPA,Bangalore,Very High
Product Manager,"Confluence,Jira,NoSQL,Ruby,Express.js,Blockchain",Marketing,₹10 LPA,Chennai,High
Data Engineer,"Jira,NumPy,Illustrator,GitLab,Kanban,Rust,JavaScript,Docker",Finance,₹38 LPA,London,Medium
DevOps Engineer,"UI Design,Sketch,Agile,Node.js",Business,₹33 LPA,Chennai,Very High
Technical Recruiter,"Jira,PowerShell,Sketch,Spring Boot",Finance,₹14 LPA,Remote,Very High
HR Manager,"Spring Boot,Express.js,Agile,Solidity,UI Design,Angular,Deep Learning",HR,₹40 LPA,Delhi NCR,Low
Frontend Developer,"Kotlin,Ethereum,Python,Flask",Business,₹19 LPA,Hyderabad,Low
Technical Recruiter,"Swift,UX Design,Go,C#",HR,₹29 LPA,Pune,Medium
Frontend Developer,"Terraform,PHP,Scikit,C#,Data Visualization",Operations,₹15 LPA,Pune,Very High
Software Engineer,"Deep Learning,MacOS,Ruby,Azure,Cybersecurity,Node.js,C++",Business,₹15 LPA,London,Very High
Data Analyst,"Git,PHP,Bitbucket,MongoDB,Redis",Business,₹38 LPA,Delhi NCR,Medium
System Administrator,"MacOS,TypeScript,NoSQL,MongoDB,Natural Language Processing",Operations,₹38 LPA,Delhi NCR,High
Accountant,"Data Analysis,AWS,Go,NoSQL,JavaScript,HTML,Bitbucket",HR,₹31 LPA,Delhi NCR,Medium
Product Manager,"Natural Language Processing,Cybersecurity,Data Analysis,GitHub,MySQL,SQL,Azure,Elasticsearch",Design,₹29 LPA,Bangalore,Medium
Technical Recruiter,"Terraform,Deep Learning,PowerShell",Business,₹32 LPA,London,Medium
Game Developer,"GitLab,React,Network Security,PHP,AWS,Adobe XD,Data Analysis",Finance,₹24 LPA,Bangalore,Low
Full Stack Developer,"Python,Swift,Express.js",IT/Software,₹22 LPA,London,Low
Financial Analyst,"PHP,Java,Cryptography,Agile,Blockchain,Sketch,Illustrator,Elasticsearch",Business,₹19 LPA,Bangalore,High
Product Manager,"Ansible,Node.js,Photoshop,Scikit",Business,₹44 LPA,New York,Very High
Data Scientist,"Deep Learning,Scikit,TensorFlow",Marketing,₹23 LPA,London,Medium
Cloud Architect,"Python,React,Cryptography",HR,₹39 LPA,New York,Very High
Customer Success Manager,"Photoshop,Cryptography,Elasticsearch,Power BI,Redis",IT/Software,₹37 LPA,Hyderabad,Low
Marketing Specialist,"Confluence,Computer Vision,Illustrator",Data Science,₹32 LPA,San Francisco,Low
Operations Manager,"Django,Agile,Terraform,Penetration Testing,GitHub,PHP,Tableau,UX Design",Business,₹37 LPA,Chennai,Medium
Security Analyst,"Tableau,NumPy,Illustrator",Data Science,₹21 LPA,Remote,High
HR Manager,"AWS,MacOS,Azure,NumPy,HTML,Cybersecurity,Bitbucket",Business,₹35 LPA,Delhi NCR,Low
Network Engineer,"MacOS,Bitbucket,Express.js,Linux",Design,₹7 LPA,Hyderabad,Medium
Frontend Developer,"ASP.NET,Python,C++,Node.js,Ansible",Operations,₹29 LPA,Mumbai,High
Backend Developer,"Rust,Blockchain,Network Security,Cybersecurity,MySQL,Kubernetes,Tableau",Marketing,₹26 LPA,Delhi NCR,Very High
HR Manager,"Linux,Computer Vision,Penetration Testing,Google Cloud,Tableau",Finance,₹26 LPA,Pune,Low
Machine Learning Engineer,"Blockchain,C#,NoSQL",IT/Software,₹33 LPA,Bangalore,Low
Technical Recruiter,"Solidity,Jenkins,Deep Learning,Cryptography",Finance,₹32 LPA,New York,Low
QA Engineer,"MySQL,Confluence,Power BI",HR,₹33 LPA,New York,Medium
Full Stack Developer,"Spring Boot,Sketch,Java,Cybersecurity,Angular,Network Security,Blockchain,Illustrator",HR,₹9 LPA,Chennai,Medium
Data Engineer,"Pandas,UI Design,Bash",HR,₹37 LPA,Delhi NCR,Medium
Sales Executive,"TypeScript,Pandas,SQL",Data Science,₹30 LPA,Mumbai,Very High
Operations Manager,"Google Cloud,ASP.NET,Ruby on Rails,Swift",Business,₹7 LPA,Mumbai,High
AI Researcher,"Illustrator,Power BI,Jira,PHP,Rust,Python",IT/Software,₹22 LPA,Remote,Medium
Sales Executive,"Kanban,Angular,SQL,Bitbucket",IT/Software,₹8 LPA,New York,Medium
Graphic Designer,"Power BI,AWS,Sketch,Photoshop,Angular",HR,₹37 LPA,London,Medium
Full Stack Developer,"Ansible,PHP,Figma,Scikit,UI Design,Photoshop",HR,₹45 LPA,Hyderabad,High
QA Engineer,"TypeScript,Agile,Adobe XD",Business,₹17 LPA,New York,High
Data Analyst,"Docker,Flask,Linux,Rust,Illustrator,TensorFlow,PHP",Design,₹6 LPA,Remote,Very High
AI Researcher,"Adobe XD,Machine Learning,Agile,Linux,Flask,Kanban,Natural Language Processing",Data Science,₹36 LPA,San Francisco,High
SEO Specialist,"Illustrator,ASP.NET,Google Cloud,MongoDB",HR,₹18 LPA,Remote,Low
Blockchain Developer,"Scikit,Machine Learning,SQL,Vue.js,Windows,NoSQL",IT/Software,₹23 LPA,Chennai,Very High
Cloud Architect,"Jira,Pandas,Jenkins,MacOS,Azure,Figma",HR,₹43 LPA,Remote,Medium
Game Developer,"NoSQL,Kubernetes,PHP,PostgreSQL,Windows,Data Visualization,Jenkins",Data Science,₹9 LPA,London,Very High
Scrum Master,"TypeScript,Sketch,Photoshop",IT/Software,₹28 LPA,San Francisco,High
Digital Marketer,"SQL,Jira,Kanban,Computer Vision",Design,₹5 LPA,San Francisco,Medium
SEO Specialist,"Excel,C++,Photoshop,Cryptography",Business,₹14 LPA,San Francisco,High
DevOps Engineer,"Flask,TensorFlow,SQL,Express.js",Design,₹41 LPA,San Francisco,Very High
Data Engineer,"Swift,Ansible,NumPy,Ruby,MongoDB,Data Analysis",HR,₹36 LPA,Mumbai,High
Video Editor,"Excel,Pandas,Redis,Kubernetes,Ruby on Rails,Scrum,Power BI",Finance,₹36 LPA,London,Low
Financial Analyst,"Tableau,Natural Language Processing,Git,MacOS",Operations,₹7 LPA,Pune,Medium
Sales Executive,"UX Design,MacOS,SQL",Finance,₹39 LPA,Delhi NCR,Low
Video Editor,"Django,SQL,Redis,ASP.NET",Marketing,₹41 LPA,Remote,Medium
UI/UX Designer,"Windows,UX Design,Ethereum,TensorFlow",IT/Software,₹27 LPA,San Francisco,Very High
Scrum Master,"Computer Vision,NoSQL,Python,Express.js,Swift,Natural Language Processing,Cybersecurity,Redis",Operations,₹28 LPA,Pune,Medium
Blockchain Developer,"Python,C++,Google Cloud",Operations,₹36 LPA,London,High
Scrum Master,"Adobe XD,Rust,GitHub,Bash,MySQL,Terraform,NoSQL,Flask",Business,₹34 LPA,Chennai,Low
Business Analyst,"Flask,C#,Angular,NumPy,Ruby on Rails,Django,Machine Learning,Bitbucket",Operations,₹19 LPA,New York,Medium
Financial Analyst,"Elasticsearch,NumPy,Vue.js",HR,₹10 LPA,Pune,High
Video Editor,"Git,Tableau,Penetration Testing,SQL,Data Analysis",IT/Software,₹21 LPA,New York,Very High
Financial Analyst,"Node.js,Blockchain,CSS,Azure",Design,₹19 LPA,London,High
Video Editor,"Vue.js,Ansible,NoSQL,PHP,Scrum,Penetration Testing,Elasticsearch,Ruby on Rails",Marketing,₹16 LPA,London,Very High
Network Engineer,"MongoDB,Google Cloud,Figma,Vue.js,PostgreSQL,Ansible,Data Visualization",Operations,₹28 LPA,Bangalore,Medium
Sales Executive,"Machine Learning,GitHub,Redis",Data Science,₹27 LPA,Mumbai,Low
Content Creator,"Confluence,Jira,Power BI",Business,₹28 LPA,Pune,High
